author,comment,sentiment,positive_score,negative_score,sentiment_score,channel,title
Affanzero369,Loalah td subuh q habis ngisi disitu...... Tp bukan pertaix tp Pertamax...... Soalnya gra2 pertaix mobilku JD boros. Mau ganti Shell kosong trs. Ya terpaksa Pertamax..... Mendingan sih JD perhitungan ku bukan patokan 1 liter banding berapa tp 100k JD 100km lebih..... Dripada pertaix isi 100k km nya cuma 80km....... Efek Bahlul anjink,netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
heryyanto631,lha polisi urusan juga sidak pertalite emang mereka tau,netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
batmanfilm0131,"Pertamax rasa Pertalite, Pertalite rasa Oplosan",netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
rickyhadiwijaya3826,Mau ngadu aja persyaratannya ribet bikin orang malas menyampikan masalahnya padahal sudah jelas mogoknya dikarenakan bbm yg kwalitasnya buruk,negatif,1,3,-2,KOMPASTV,"Kasus Pertalite Diduga Bercampur Air, Pertamina Buka Posko Aduan untuk Masyarakat"
kad1994,Mbk jgan bli bensin BPJS ngpain nyusahin dri sndri mahal dikit GK PP pnting aman,negatif,0,1,-1,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
setiawan485,Coba dari jatim mas,netral,0,0,0,Rustanto Autoinfo,"Percobaan Ke-3, PERTAMAX dan PERTALITE apakah mengandung ETANOL?"
SupriHartono-p4h,PANGGUNG SANDIWARA,netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
SetofikSetofik,"Pejabat pertamina sedang melakukan penipuan trhdap rakyat. 
Ini kejahatan teroganisir. 
Bpk persiden yg terhormat.... 
Ini sudah tidak pancasila lagi. Tolong pertamina di bersihkan.",negatif,0,1,-1,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
NajmosabahSoba,Demo dong ke pom bensin,negatif,0,1,-1,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
sumantomanto4521,Rakyat gak ada benarnya walaupun di rugikan,netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
yoyonkleee8903,Lamongan Tuban Bojonegoro sdh banyak yang mogok,netral,0,0,0,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
AyuYu-qq7yk,"Semoga para koruptor kelak di alam kubur dan di akhirat diberikan tempat terburuk serta kekal didalamnya, amin, amin, amin, amin....",positif,4,1,3,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
SitiRumayah-u3d,"Gak cukup minta maaf,tangung jawab nya mana, yg curang itu bukan pom bensin. Tp pertamina itu yg harus di bersihkan",netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
_lontong_,"Jangan persulit perusahaan shell !
Kami rakyat banyak terbantu dgn kehadiran pom shell, semoga pom shell bisa buka sampai ke daerah2",netral,0,0,0,KOMPASTV,"Kasus Pertalite Diduga Bercampur Air, Pertamina Buka Posko Aduan untuk Masyarakat"
wisnusuyoso9627,"Bertahun tahun jualan bensin .......
G pernah bisa profesional.....
Yang beli cash semua ....",positif,1,0,1,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
dimashahok719,"Benar, baunya memang beda.",positif,1,0,1,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
kad1994,Mbk jgan bli bensin BPJS ngpain nyusahin dri sndri mahal dikit GK PP pnting aman,negatif,0,1,-1,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
sugiantofadli8588,Motor brebet,netral,0,0,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
abvan2922,😊😊😊😊😊😊,netral,0,0,0,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
wisnusuyoso9627,"Bertahun tahun jualan bensin .......
G pernah bisa profesional.....
Yang beli cash semua ....",positif,1,0,1,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
sarahnoerani1858,Pantesan beberapa bulan ini mobilku juga brebet.. kupikir kenapa yaaa?? Penyebabnya apakah karena pertalite plat merah??,netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
